"species","max_size_tl","diet","position"
"Epinephelus fuscoguttatus",120,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus guttatus",76,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus hexagonatus",29.5,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus itajara",250,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus labriformis",60,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus latifasciatus",168.6,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus maculatus",60.5,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus malabaricus",215,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus marginatus",150,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus merra",31,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus morio",125,"Mobile invertebrate feeder","Benthic Reef associated"
"Epinephelus morrhua",90,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus multinotatus",100,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus ongus",40,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus polylepis",61,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus polyphekadion",113.7,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus rivulatus",39,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus sexfasciatus",40,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus striatus",122,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus tauvina",75,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus tukula",200,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Euthynnus affinis",106.8,"Fish-cephalopod feeder","Pelagic Reef associated"
"Euthynnus alletteratus",122,"Fish-cephalopod feeder","Pelagic Reef associated"
"Eviota melasma",2.7,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Eviota queenslandica",2.6,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Eviota sigillata",1.9,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Forsterygion lapillum",7.7,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Forsterygion varium",15.2,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Girella punctata",50,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Girella tricuspidata",73.9,"Herbivore-macroalgae feeder","Benthic Reef dwelling"
"Gnathanodon speciosus",120,"Fish-cephalopod feeder","Pelagic Reef associated"
"Gobiosoma robustum",5,"Mobile invertebrate feeder","Benthic Reef associated"
"Gobius niger",18,"Mobile invertebrate feeder","Benthic Reef associated"
"Gobius paganellus",13,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Gobius vittatus",6.9,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Gymnocranius audleyi",40,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Gymnocranius euanus",45,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Gymnocranius grandoculis",80,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Gymnocranius griseus",35,"Mobile invertebrate feeder","Benthic Reef associated"
"Haemulon album",79,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon aurolineatum",25,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon bonariense",40,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Haemulon flaviguttatum",42,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Haemulon flavolineatum",30,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon maculicauda",30,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon melanurum",33,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon parra",41.2,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon plumierii",53,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon sciurus",46,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon sexfasciatum",71,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Haemulon steindachneri",30,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Halichoeres hortulanus",27,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Halichoeres marginatus",18,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Halichoeres radiatus",51,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Halichoeres scapularis",20,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Hemiramphus brasiliensis",55,"Omnivore","Pelagic Reef associated"
"Hipposcarus harid",75,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Hipposcarus longiceps",60,"Herbivore-detritivore","Bentho-pelagic Reef dwelling"
"Holacanthus passer",35.6,"Sessile invertebrate feeder","Benthic Reef dwelling"
"Holocentrus adscensionis",61,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Holocentrus rufus",35,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Hyporhamphus australis",39.8,"Omnivore","Pelagic Reef associated"
"Hyporthodus nigritus",230,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Hyporthodus niveatus",122,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Hyporthodus quernus",122,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Istigobius goldmanni",6.4,"Herbivore-detritivore","Benthic Reef associated"
"Johnius coitor",22.8,"Mobile invertebrate feeder","Benthic Reef associated"
"Johnius dussumieri",40,"Fish-cephalopod feeder","Benthic Reef associated"
"Karalepis stewarti",15,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Kyphosus cinerascens",50,"Herbivore-macroalgae feeder","Pelagic Reef dwelling"
"Labrus bergylta",65.9,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Labrus merula",53.2,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Labrus mixtus",45.4,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lachnolaimus maximus",91,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lagocephalus sceleratus",121.1,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Lagodon rhomboides",40,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Lesueurigobius friesii",13,"Mobile invertebrate feeder","Benthic Reef associated"
"Lethrinus atkinsoni",50,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus borbonicus",40,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus enigmaticus",55,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus erythracanthus",70,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus genivittatus",25,"Mobile invertebrate feeder","Benthic Reef associated"
"Lethrinus harak",50,"Mobile invertebrate feeder","Benthic Reef associated"
"Lethrinus lentjan",52,"Mobile invertebrate feeder","Benthic Reef associated"
"Lethrinus mahsena",65,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus microdon",80,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Lethrinus miniatus",90,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Lethrinus nebulosus",87,"Mobile invertebrate feeder","Benthic Reef associated"
"Lethrinus obsoletus",60,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus olivaceus",100,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Lethrinus ornatus",45,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus rubrioperculatus",50,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus semicinctus",35,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lethrinus xanthochilus",75.1,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lipophrys pholis",30,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Lutjanus adetii",50,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus alexandrei",45,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus analis",94,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus apodus",67.2,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus argentimaculatus",120,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Lutjanus argentiventris",71,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus bohar",90,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Lutjanus boutton",35,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus buccanella",75,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus campechanus",117,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Lutjanus carponotatus",40,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Lutjanus cyanopterus",160,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Lutjanus ehrenbergii",35,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Lutjanus erythropterus",81.6,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus fulviflamma",35,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus gibbus",50,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus griseus",89,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus guttatus",80,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus jocu",128,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus johnii",97,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Lutjanus kasmira",40,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus lutjanus",35,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Lutjanus mahogoni",48,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus malabaricus",100,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Lutjanus monostigma",60,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Lutjanus peru",95,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Lutjanus purpureus",100,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus quinquelineatus",38,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus rivulatus",80,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Lutjanus sanguineus",100,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Lutjanus sebae",121,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Lutjanus synagris",60,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
