,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"reeftype_x[2, 5]",0.233,0.457,-0.637,1.141,0.009,0.007,2812.0,3046.0,1.0,fringing,planktivore
"reeftype_x[3, 0]",0.357,0.561,-0.73,1.429,0.009,0.007,3813.0,3139.0,1.0,lagoon,browser
"reeftype_x[3, 1]",0.475,0.536,-0.56,1.527,0.01,0.007,2712.0,3246.0,1.0,lagoon,cropper/grazer
"reeftype_x[3, 2]",-0.28,0.536,-1.334,0.748,0.01,0.007,3097.0,3194.0,1.0,lagoon,invertivore-mobile
"reeftype_x[3, 3]",-0.565,0.539,-1.609,0.502,0.01,0.007,2870.0,3195.0,1.0,lagoon,scraper-excavator
"reeftype_x[3, 4]",-0.276,0.548,-1.342,0.778,0.009,0.007,3483.0,3061.0,1.0,lagoon,piscivore
"reeftype_x[3, 5]",-0.305,0.577,-1.466,0.796,0.01,0.008,3341.0,2906.0,1.0,lagoon,planktivore
"reeftype_x[4, 0]",0.327,0.465,-0.569,1.222,0.008,0.006,3189.0,3220.0,1.0,patch,browser
"reeftype_x[4, 1]",0.029,0.473,-0.885,0.966,0.01,0.007,2289.0,2591.0,1.0,patch,cropper/grazer
"reeftype_x[4, 2]",0.075,0.47,-0.812,1.04,0.009,0.007,2672.0,2543.0,1.0,patch,invertivore-mobile
"reeftype_x[4, 3]",0.008,0.47,-0.867,0.948,0.009,0.007,2517.0,2803.0,1.0,patch,scraper-excavator
"reeftype_x[4, 4]",-0.13,0.471,-1.036,0.809,0.009,0.007,2848.0,2479.0,1.0,patch,piscivore
"reeftype_x[4, 5]",0.074,0.464,-0.794,0.995,0.009,0.007,2744.0,2602.0,1.0,patch,planktivore
"reefzone_x[0, 0]",-0.403,0.594,-1.551,0.774,0.01,0.008,3234.0,2611.0,1.0,back reef,browser
"reefzone_x[0, 1]",-0.226,0.581,-1.431,0.827,0.011,0.009,2816.0,2615.0,1.0,back reef,cropper/grazer
"reefzone_x[0, 2]",-0.019,0.593,-1.206,1.128,0.012,0.009,2630.0,2666.0,1.0,back reef,invertivore-mobile
"reefzone_x[0, 3]",-0.019,0.58,-1.15,1.117,0.01,0.009,3235.0,2945.0,1.0,back reef,scraper-excavator
"reefzone_x[0, 4]",0.019,0.592,-1.193,1.104,0.012,0.009,2621.0,3095.0,1.0,back reef,piscivore
"reefzone_x[0, 5]",0.339,0.577,-0.723,1.512,0.01,0.008,3108.0,2812.0,1.0,back reef,planktivore
"reefzone_x[1, 0]",0.011,0.588,-1.107,1.159,0.01,0.01,3274.0,2449.0,1.0,fore reef,browser
"reefzone_x[1, 1]",0.107,0.571,-0.95,1.289,0.011,0.009,2789.0,2504.0,1.0,fore reef,cropper/grazer
"reefzone_x[1, 2]",0.034,0.584,-1.117,1.189,0.011,0.01,2659.0,2521.0,1.0,fore reef,invertivore-mobile
"reefzone_x[1, 3]",0.232,0.573,-0.803,1.438,0.01,0.008,3109.0,2833.0,1.0,fore reef,scraper-excavator
"reefzone_x[1, 4]",-0.143,0.58,-1.304,0.932,0.011,0.009,2580.0,3139.0,1.0,fore reef,piscivore
"reefzone_x[1, 5]",0.116,0.573,-0.986,1.236,0.01,0.009,3092.0,2692.0,1.0,fore reef,planktivore
"reefzone_x[2, 0]",0.121,0.637,-1.155,1.297,0.011,0.009,3551.0,3235.0,1.0,pinnacle,browser
"reefzone_x[2, 1]",-0.013,0.618,-1.252,1.174,0.011,0.008,3366.0,3084.0,1.0,pinnacle,cropper/grazer
"reefzone_x[2, 2]",0.042,0.625,-1.161,1.286,0.011,0.009,3067.0,2835.0,1.0,pinnacle,invertivore-mobile
"reefzone_x[2, 3]",-0.214,0.618,-1.415,1.004,0.011,0.008,3458.0,3388.0,1.0,pinnacle,scraper-excavator
"reefzone_x[2, 4]",-0.276,0.617,-1.454,0.935,0.012,0.008,2800.0,3506.0,1.0,pinnacle,piscivore
"reefzone_x[2, 5]",-0.687,0.619,-1.921,0.531,0.01,0.007,3595.0,2891.0,1.0,pinnacle,planktivore
"manage_x[0, 0]",0.094,0.479,-0.806,1.066,0.009,0.007,2838.0,2856.0,1.0,access restriction,browser
"manage_x[0, 1]",0.204,0.481,-0.764,1.108,0.009,0.008,3049.0,2965.0,1.0,access restriction,cropper/grazer
"manage_x[0, 2]",0.048,0.471,-0.856,0.983,0.009,0.007,2868.0,2700.0,1.0,access restriction,invertivore-mobile
"manage_x[0, 3]",0.116,0.461,-0.758,1.031,0.01,0.007,2321.0,2963.0,1.0,access restriction,scraper-excavator
