"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"zinc.mg","Zinc","Fiji","Yac20",2017,33,0.67,6.33,4.33,21,"fringing","fore reef",10,"restriction",-3.44249279809434,0.423210801192671,0,2.23390429088789,0.482817177061402,0.0274181230675471,0.108572336487708,0.240501311053976,0.0322653207617266,0.10842573156764
"zinc.mg","Zinc","Fiji","Yac21",2017,26,2.67,3.33,40.33,1,"fringing","fore reef",9.9,"restriction",-3.44249279809434,0.423210801192671,0,2.23390427314689,0.272231223050218,0.00360536736418007,0.25447752670308,0.274989696250806,0.0523268172353849,0.142369369396331
"zinc.mg","Zinc","Madagascar","Ambato_04",2015,32.5,19.5,12,0,0,"fringing","fore reef",10,"no-take",0.3245112743743,2.91390714364728,0.00170213447254418,3.62699041209403,0.796230383911351,0.012982092884909,0.0439042851077063,0.0252081020787709,0.0409678029695409,0.0807073330477217
"zinc.mg","Zinc","Madagascar","Ambato_05",2015,53.5,2,3.5,0,0,"fringing","fore reef",11,"restriction",0.3245112743743,2.91390714205874,0.00170213447254418,3.62699041086383,0.475555364538301,0.0404862251105679,0.221688851584348,0.0226718329504233,0.0738870396692252,0.165710686147135
"zinc.mg","Zinc","Madagascar","Ambatomilay_18",2016,28.5,35,20.3333333333333,0.666666666666667,1.33333333333334,"patch","fore reef",5.3,"no-take",-0.37940697862092,1.57317595454219,0.00483577248362384,1.40580527772578,0.098828493558666,0.0105231523784193,0.226259571057431,0.0234420920920996,0.0422958106470281,0.598650880266356
"zinc.mg","Zinc","Madagascar","Ambatomilay_18",2020,23.5,0,46,1,4,"patch","fore reef",5.9,"no-take",-0.37940697862092,1.57317595454219,0.00483577248362384,1.40580527772578,0.0445693899023088,0.0490493134857234,0.123554991251872,0.0207859191811921,0.0431980775421769,0.718842308636727
"zinc.mg","Zinc","Madagascar","Andravona_08",2016,23.5,7,5,0,0,"barrier","fore reef",10,"restriction",0.4095410674711,0.437761182300146,0.0102609362420578,2.35710782241827,0.186102105509855,0.317879034406872,0.112934418158536,0.0268469588597237,0.0903432650759424,0.265894217989072
"zinc.mg","Zinc","Madagascar","Andravona_12",2016,34,3,2.5,0,0,"barrier","fore reef",10,"restriction",0.306195487841947,0.450920667239613,0.0121793819720125,2.42828416888001,0.243703463275555,0.0318234304913661,0.0950686313609188,0.0259199885597451,0.119367255484595,0.484117230827821
"zinc.mg","Zinc","Madagascar","Anka_01",2016,23,6.5,1.5,0,0,"barrier","fore reef",9,"restriction",0.668429250779931,0.8766211659568,0.00635050026994822,3.35926704420885,0.313812922493949,0.0123339996301165,0.0650499855089429,0.344509369568195,0.0522012284557647,0.212092494343033
"zinc.mg","Zinc","Madagascar","Ankaso_15",2016,31.6666666666667,0.5,17.1666666666667,6.66666666666667,1.66666666666666,"fringing","fore reef",6.43333333333334,"no-take",-0.22010206007448,1.41948706863103,0.00604266625312494,2.33664957910494,0.530689981548861,0.00612363749790928,0.0811666652831687,0.0782587699401372,0.0833528456348736,0.22040810009505
