"nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","depth","grav_nc","sediment","nutrient_load","pop_count","browser","cropper/grazer","invertivore-mobile","piscivore","planktivore","scraper-excavator"
"zinc.mg","Zinc","Fiji","BuC1",2019,"fringing","fore reef","access restriction",-0.658375928135664,-0.201957694552904,-0.637873711550149,-0.241118125243442,0.302644178955664,0.868793158744448,0.390798441030931,-0.328476405045474,0.633722361556851,0,0.0947678806061648,0.108277303570858,0.0040609021538556,0.396157331700007,0.396736581969114
"zinc.mg","Zinc","Fiji","BuC2",2019,"fringing","fore reef","access restriction",-0.933101155275211,-0.647648144769087,-1.19028975459804,-0.317637859867204,0.211126764393739,0.975906614536684,0.470843810791104,-0.29557288572198,0.712249080867498,0.0168338405717794,0.101249871182607,0.185001151719088,0.00951633032441599,0.0143408055509544,0.673058000651156
"zinc.mg","Zinc","Fiji","BuC3",2019,"fringing","fore reef","access restriction",-0.736784630302101,-0.721929886471784,-0.832729458656988,-0.583743802663274,0.267445173354924,0.868793158744448,0.390798428360007,-0.328476405045474,0.633722350356684,0,0.078716363278322,0.137159267722659,0.0158023757696882,0.108574768927124,0.659747224302207
"zinc.mg","Zinc","Fiji","BuC4",2019,"fringing","fore reef","access restriction",-0.736784630302101,-0.276239436255601,0.628688644644304,-0.241118125243442,0.0351317363900368,0.975906614536684,0.470843778631704,-0.29557288572198,0.712249055988238,0,0.0995268909378986,0.145492135633997,0.0729573947758112,0.233695191253112,0.448328387399181
"zinc.mg","Zinc","Fiji","BuC5",2019,"fringing","fore reef","access restriction",-0.618876807495428,0.589885671997847,-0.80057826038436,-0.507224068039511,0.362482488476922,0.547355015295791,-1.34768171904912,-0.504384589518094,1.14710776182573,0.0128729561856444,0.075056846276495,0.142101731230738,0,0,0.769968466307123
"zinc.mg","Zinc","Fiji","BuC6",2019,"fringing","fore reef","access restriction",-0.697285509661866,-0.400289944899106,-0.313438892617262,0.292235845940096,0.478639206959366,1.21372487833719,0.579727258807916,-0.0937680025065327,-0.0820325212490919,0,0.0990258912821434,0.132852128229986,0.00989933928101641,0.101195455165499,0.657027186041355
"zinc.mg","Zinc","Fiji","BuE1",2019,"fringing","fore reef","access restriction",-0.835237662345673,-0.821467420353398,-1.22244095287067,-0.546054978147092,0.11608944927174,1.06056433806455,0.446759053832289,-0.222591208932904,0.686872124598972,0,0.0364094499299636,0.077197927192023,0.0220560203348121,0,0.864336602543201
"zinc.mg","Zinc","Fiji","BuE2",2019,"fringing","fore reef","access restriction",-0.500968984688755,-0.201957694552904,-1.05973640403646,-0.583743802663274,0.211126764393739,0.975906614536684,0.470843778631704,-0.29557288572198,0.712249059216844,0,0.0284048027410958,0.0428310715708233,0.0115672145436754,0.480803771519848,0.436393139624557
"zinc.mg","Zinc","Fiji","BuE4",2019,"fringing","fore reef","access restriction",-1.10996288948522,-0.697416911709894,-0.18288554205568,-0.583743802663274,-0.411895634739366,1.20248575938058,0.125516344297383,-0.128591356839661,0.479451856085767,0,0.0573638001859536,0.0879271825715087,0.00917438278091191,0.330396386876587,0.515138247585039
"zinc.mg","Zinc","Fiji","BuE5",2019,"fringing","fore reef","access restriction",-0.697285509661866,-0.647648144769087,-0.0533064702296323,-0.583743802663274,0.362482488476922,1.06056433806455,0.446759042559335,-0.222591208932904,0.686872117541703,0.0109886097718618,0.0692014023905174,0.197874871067534,0.0305965333930874,0.0253701291654793,0.665968454211521
