"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"WFR5_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",-0.680549513776343,-0.793542665484104,2.20438040112056,-0.560028110873054,-0.596727134213913,-0.864288109144397,1.89342558785939,0.427566322766268,-1.41115186270554,-0.506500086830232,-1.92100371432407,0.181951056492468,0.24250347293638,0,0.575545470571152,0
"WFR6_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",-0.480800182537773,-0.569533917708602,1.27284995500033,0.178654150650971,-0.587250066636447,-0.84397801543015,1.23306383890736,0.427566059356673,-1.41115186270554,-0.506500086830232,-1.92100371432407,0.103281800970258,0.0755181144888715,0,0.821200084540871,0
"Ada01_Fiji","vitamin_a.mug","Vitamin A","Fiji","patch","fore reef","restriction",-0.615559626175032,-1.28266268356272,-0.915951805266368,-0.723094783278226,-0.596727134213913,1.22115231343456,0.394225941589907,-2.75405782722304,0.273793228788397,-0.429821664143915,-0.158555391238732,0.119218754397309,0.195923733328418,0.0455248304865295,0.226257070415592,0.413075611372151
"Ada04_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","fore reef","restriction",-0.31304572528873,-1.14585000143509,-0.350695593103219,0.350997070887574,-0.373737308861776,2.06036538570727,-0.819411867294914,-2.76079354238124,0.161276817414689,-0.477354549661483,0.216932607580032,0.0682890916094955,0.643422841807812,0.114886134495126,0.167757798297266,0.00564413379030155
"BU01_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.699845990908923,1.10539387529171,-0.915951805266368,-1.14589639496349,2.2274390038709,1.11229021112619,-2.1044401355259,1.03882611511235,0.0541203958166901,-0.334406957267527,0.674731321641025,0.638071580649712,0.137867429760781,0.025841984407658,0.198219005181849,0
"BU01N_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.0884339758696073,1.1735066269089,-0.805406261818555,-0.576627712255617,-0.169701618664571,0.977431188863585,-1.14066893435266,1.03882611511235,0.0541203958166901,-0.334406957267527,0.674731337146973,0.392254224295905,0.303195791122545,0.0340877015653934,0.182491640034648,0.0879706429815084
"BU02_Fiji","vitamin_a.mug","Vitamin A","Fiji","patch","back reef","restriction",-0.107762476443422,1.48706015590528,-0.879103290783764,-0.52780535524808,-0.0582067059885019,0.273077138853475,-1.39053554206424,0.708716593150453,0.591925163488105,-0.0449893923417133,0.56131019356498,0.606619048092885,0.134219797793159,0.017068359836218,0.0195756793730029,0.222517114904736
"BU03_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.681714728457976,0.919258166130941,-0.706652243005176,-0.430160641233008,0.880580458743995,0.0224505824196577,-1.68859070983448,1.10896717988282,0.551079482514792,0.399523011930715,0.910079010360801,0.692602220169616,0.213482488454915,0.00598234729917529,0.087932944076294,0
"BU04_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.880487040832012,0.73312245697017,-0.22762155473132,-1.08047443657339,2.2274390038709,0.624847961984245,-1.74748783879507,1.0302639388991,0.380039396267886,-0.238582180751954,0.636227612794039,0.774302649468322,0.0981891585098148,0.0355221369917437,0.0919860550301201,0
"BU05_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","fore reef","restriction",-0.916860521535132,1.10539387529171,-0.915951805266368,-0.982829722558319,1.81936762347649,0.165027440293677,-1.92596398716049,0.949240930582007,0.404080540068634,-0.30842410914875,0.661944717651589,0.916605367385283,0.0454023360254979,0.0379922965892189,0,0
"BU07_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","fore reef","restriction",-0.247086923006002,0.855549256213138,-0.903423310342283,-0.234871213202862,2.10702449818075,-0.200960448437067,-1.4583564784431,0.539088869522076,-1.41115186270554,-0.508252514120724,1.10263216392538,0.393228165449023,0.329920610326246,0.027663462028613,0.249187762196118,0
"BU08_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.533085595144797,0.860540276805777,-0.559258185074759,-0.137226499187789,-0.243288261030776,-0.674998035727609,-1.49048218514887,0.708716593150453,0.591925163488105,-0.0449893923417133,0.56131019356498,0.259351897032203,0.507136910308292,0.0197918227144869,0.0871720831080231,0.126547286836995
"BU09_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.445602368528925,2.67081280470059,-0.621163689405534,-0.804139895910736,-0.187540804692742,-0.431276911156636,-1.42623077173732,1.03882611511235,0.0541204180743194,-0.334406957267527,0.674731340509708,0.594211885614155,0.139111237814011,0.0195447287525489,0.0380575728182274,0.209074575001058
"BU10_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","back reef","restriction",-0.682600289232434,-0.617388997508611,1.09892496664243,-0.00638258240759193,0.443520401053807,-0.187555786585664,-1.53331646075657,0.539088869522076,-1.41115186270554,-0.508252514120724,1.10263217710203,0.354566806727039,0.515885980244294,0.129547213028667,0,0
"BUA07A_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","fore reef","restriction",0.699160167540916,0.66500970535298,-0.829726281377074,-0.820739497293298,0.09119647699743,1.64035264769663,-0.97290135488917,0.10390672907485,1.0754018118707,0.417165260470553,0.376734807260697,0.211102241506881,0.655124152261554,0.0497288348716312,0.0840447713599334,0
"BUA08A_Fiji","vitamin_a.mug","Vitamin A","Fiji","fringing","fore reef","restriction",0.107847170203336,0.743104498155448,-0.866574795859679,-1.01602892532344,-0.0392525708335703,1.08548088742338,-0.508863369139092,0.116194628022629,1.01697203183945,0.321628744971708,-0.022993907485194,0.331265437502137,0.483470313832509,0.0557340630938871,0.129530185571467,0
