"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"Yac13_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",0.493437767313907,-0.499953218858282,-0.350695593103219,-0.104027296422665,2.56192374189911,-0.864288109144397,1.28660668341698,-2.80062341419667,-0.953876020901198,-0.508252514120724,-0.440561830705726,0.288181941996484,0.361820322214725,0.0682439641714979,0.165840483584212,0.115913288033081
"Yac15_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",0.0774636342582072,-0.1670227863846,0.484291745072594,1.09993202738318,-0.485232221537845,-0.864288109144397,0.929654386686152,-2.80062341419667,-0.953876020901198,-0.508252514120724,-0.440561825692492,0.327624584849087,0.242300461249502,0.198934518203203,0.109830379874786,0.121310055823422
"Yac16_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",0.850308331243615,0.145943563718526,-0.22762155473132,1.52273363906845,-0.522025542720947,-0.783047734287406,0.715483008647654,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561830705726,0.460128918534811,0.317131853094978,0.123739248272289,0.0816824492525637,0.0173175308453578
"Yac17_Fiji","selenium.mug","Selenium","Fiji","lagoon","fore reef","restriction",-0.978063074088855,-1.45881635153822,-0.866574795859679,0.286551559637626,-0.485232221537845,-0.268796161442654,-2.1044401355259,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561833212342,0.446860603061015,0.277523159696616,0.205655164824039,0.0652899510932755,0.00467112132505434
"Yac18_Fiji","selenium.mug","Selenium","Fiji","lagoon","fore reef","restriction",0.0252126286756878,-0.460612233010422,-0.596106699557363,0.806997885337964,-0.373737308861776,0.923000137709401,-1.78318306846815,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561858278511,0.364894555955279,0.373237800359901,0.137933190049756,0.123934453635064,0
"Yac19_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",0.152264529368372,-0.676106886833775,-0.498089651033636,0.0912621316074808,1.8561609446596,-0.809857057990213,0.690496347876496,-2.80062341419667,-1.04913641586973,-0.508252514120724,-0.457417399269292,0.239389323513945,0.0314834064940331,0.237252713691943,0.486637728490118,0.00523682780996098
"Yac20_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.68883216769235,0.244002438891551,-0.890894815418197,-0.52780535524808,-0.113954162326536,0.84175976285241,1.10813053505157,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561815666026,0.265960678685857,0.223793916518727,0.284773663160797,0.0504601041445946,0.175011637490024
"Yac21_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",1.03669906073106,-0.1670227863846,-0.74350075748778,-0.820739497293298,3.89986269401193,-0.783047734287406,1.07243530537848,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561833212342,0.114637664202143,0.324275829576852,0.197917485482415,0.22020108896666,0.14296793177193
"Ambarinidada_11_Madagascar","selenium.mug","Selenium","Madagascar","fringing","fore reef","restriction",-0.877832444144,0.713745553492866,-0.571786679998844,2.4669580235942,-0.596727134213913,-0.864288109144397,-1.39053554206424,0.446967164565412,0.665391974101783,0.418156810528817,0.403758261601621,0.351418548687278,0.463353824397947,0.0354744499316359,0.134880140604431,0.0148730363787083
"Ambato_04_Madagascar","selenium.mug","Selenium","Madagascar","fringing","fore reef","no-take",-0.830079736908986,0.214643494228969,0.49682023999668,0.0258401732173821,-0.596727134213913,-0.864288109144397,1.10813053505157,0.567051007094311,1.79481319391354,-0.300118629610801,0.937237166538505,0.673602381963048,0.0672936861072258,0.0491160384364027,0.0343499834498577,0.175637910043465
"Ambato_05_Madagascar","selenium.mug","Selenium","Madagascar","fringing","fore reef","restriction",-0.764347184350264,1.44771917005742,-0.79287776689447,-0.804139895910736,-0.596727134213913,-0.864288109144397,1.4650828317824,0.567051007094311,1.79481319216578,-0.300118629610801,0.937237165321806,0.328221109317609,0.305647559760174,0.0636184933266936,0.0536589012134758,0.248853936382047
"Ambatofisaka_19_Madagascar","selenium.mug","Selenium","Madagascar","patch","fore reef","restriction",-0.589361543273195,-1.31202162822531,-0.547221003677108,1.58815559745855,2.89678012963623,-0.701807359430416,-1.10497370467958,-0.0622468247337087,0.319701898084764,0.0830568846710387,-1.2595736198404,0.0902507322806368,0.83093220217483,0.00829328378363819,0.0433231946021272,0.0272005871587677
"Ambatomilay_18_Madagascar","selenium.mug","Selenium","Madagascar","patch","fore reef","no-take",0.716146916730931,-0.1670227863846,0.349426182066263,2.09265328653642,-0.503814706983856,-0.647647109525755,-0.462459570564084,-0.0622468247337087,0.319701898084764,0.0830568846710387,-1.2595736198404,0.0402061254374975,0.376443297256682,0.0126191999866048,0.0333020291351419,0.537429348184074
"Amparimilay_10_Madagascar","selenium.mug","Selenium","Madagascar","fringing","fore reef","restriction",-0.774683593201449,1.60430020825786,-0.682332223446657,1.44168852643594,-0.596727134213913,-0.322685610097792,-1.03358324533341,0.451523511103993,-0.353786212690441,-0.252109854754512,0.5026982106263,0.620302650664984,0.0980127203571394,0.0880563614024557,0.116279174487349,0.0773490930880717
"Andra_06_Madagascar","selenium.mug","Selenium","Madagascar","barrier","fore reef","no-take",-0.89362988062552,-1.63497001951371,-0.461241136551031,-0.804139895910736,-0.540979677875879,-0.864288109144397,1.10813053505157,0.643067027717326,-0.929514327803911,0.74643596861472,-0.318710229930406,0.00653861709887671,0.265008802134742,0.214328702352437,0.242018694691832,0.272105183722113
"Andravona_08_Madagascar","selenium.mug","Selenium","Madagascar","barrier","fore reef","restriction",0.133994363602355,-0.313817509697511,-0.424392622068427,-0.657672824888127,-0.596727134213913,-0.864288109144397,1.10813053505157,0.643067027717326,-0.929514327803911,0.74643596861472,-0.31871026768018,0.462032890425198,0.0991531604357844,0.0399954479359697,0.0958663805050033,0.302952120698045
"Andravona_12_Madagascar","selenium.mug","Selenium","Madagascar","barrier","fore reef","restriction",0.0651283524766397,0.302720328216715,-0.719180737929261,-0.901784609925809,-0.596727134213913,-0.864288109144397,1.10813053505157,0.550676826280005,-0.915035881237412,0.981019997337278,-0.248314980397357,0.115275017352678,0.115776751992082,0.0219866179427928,0.197228416539975,0.549733196172472
"Andre_07_Madagascar","selenium.mug","Selenium","Madagascar","barrier","fore reef","no-take",-1.0505330631191,-1.07715007092465,-0.571786679998844,-0.560028110873054,-0.596727134213913,-0.864288109144397,1.10813053505157,0.550676826280005,-0.915036050416546,0.981019997337278,-0.248314994816869,0.202219192265886,0.439318457589556,0.0714838300702563,0.277060163081952,0.00991835699234952
"Anir_23_Madagascar","selenium.mug","Selenium","Madagascar","fringing","pinnacle","no-take",-0.0523112719623436,0.977976055456106,0.607365783444493,0.611708457307818,-0.596727134213913,-0.864288109144397,-1.39053554206424,0.423822136073921,2.52751521254322,2.89107812521084,1.4136984396123,0.544284200680938,0.0193210506042714,0.00318072721910731,0.433214021495683,0
"Anir_24_Madagascar","selenium.mug","Selenium","Madagascar","fringing","pinnacle","restriction",-0.745296156704932,-0.108304897059435,3.48154991308763,-0.950606966933345,-0.596727134213913,-0.864288109144397,-1.39053554206424,0.423822136073921,2.527515228384,2.89107812521084,1.41369845385733,0.772768569451194,0.206237369913763,0,0.0209940606350437,0
"Anka_01_Madagascar","selenium.mug","Selenium","Madagascar","barrier","fore reef","restriction",-0.740050366643895,-0.343176454360093,-0.461241136551031,-0.999429323940881,-0.596727134213913,-0.864288109144397,0.751178238320737,0.874511192929573,-0.446667859817092,0.26827502297217,0.672451681872845,0.147183257936713,0.117001814725695,0.310544201823649,0.0481059650521162,0.377164760461827
