"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"selenium.mug","Selenium","Fiji","VIR1",2018,37.17,2.5,1.33,8.33,11.33,"barrier","fore reef",8.77,"no-take",0.322632711692223,0,0.00010942842203743,0.310436907357888,0.163694043713471,0.0283888328074463,0.313223684772573,0.0844880495265806,0.137806240259864,0.272399148920065
"selenium.mug","Selenium","Fiji","VIR10",2018,3.33,10,0.83,2,67.5,"barrier","fore reef",8.37,"restriction",0.52890269469723,2.1221497195318,0.0139102498205329,0,0.221843576253027,0.142118977698661,0.174895089749145,0.0864372292700072,0.0489927999147897,0.325712327114371
"selenium.mug","Selenium","Fiji","VIR11",2018,7.5,6,2.33,11.33,49.83,"barrier","fore reef",7.42,"restriction",0.441576689819574,1.51417760794607,0.00793331606358139,0,0.19152534683221,0.0876773130462992,0.106304031492775,0.0619047270595851,0.177409028445605,0.375179553123526
"selenium.mug","Selenium","Fiji","VIR2",2018,39,13.17,4,6.83,3.17,"barrier","fore reef",8.38,"no-take",0.32263250508205,0,0.00010942842203743,0.310436907357888,0.150959938104798,0.028595580347577,0.400139278232284,0.0173985168050138,0.247870025007975,0.155036661502352
"selenium.mug","Selenium","Fiji","VIR3",2018,37.5,17.83,1.5,8,4.83,"barrier","fore reef",8.43,"no-take",0.322632711692223,0,0.00010942842203743,0.310436907357888,0.375858126121755,0.00507795503695644,0.272192868557391,0.0308363252585996,0.220457631528427,0.0955770934968703
"selenium.mug","Selenium","Fiji","VIR5",2018,14.17,23.5,3.17,9.33,19.17,"barrier","fore reef",8.15,"no-take",0.369567048477107,0.0192251621146958,0.000735939540833511,0.310436907357888,0.0687614437418537,0.0781651992784368,0.511583174418147,0.0712134665376449,0.0757306655570783,0.194546050466839
"selenium.mug","Selenium","Fiji","VIR6",2018,9.83,22,1.83,5.33,42.33,"barrier","fore reef",10.62,"restriction",0.52890269469723,2.12214969002806,0.0139102498205329,0,0.0575101708217429,0.00315527227298833,0.138378735476918,0.0522368911315772,0.0147163534520684,0.734002576844705
"selenium.mug","Selenium","Fiji","VIR7",2018,6.67,7.83,4,2.83,41.17,"barrier","fore reef",10.07,"restriction",0.474338519709304,1.63933012507053,0.00792691951868388,0,0.0473386142802106,0.00422195000149489,0.142455291480737,0.0135093215957263,0.319590360156779,0.472884462485053
"selenium.mug","Selenium","Fiji","VIR9",2018,12.5,16.67,0.5,11.33,32.67,"barrier","fore reef",8.17,"no-take",0.411920409680825,0.761202306569048,0.00253192494542939,0.310436907357888,0.0876015215536231,0.0552981401169221,0.29629113784595,0.15063603402603,0.123596601328015,0.28657656512946
"selenium.mug","Selenium","Fiji","Vatu01",2017,12.33,6,13.33,21,4.67,"lagoon","back reef",1,"restriction",-2.1670442493954,0,0,1.23884845484587,0.153587443278703,0.0465734609544388,0.610867512755248,0.00531508308248477,0.165659950145047,0.0179965497840791
