MaxSizeTL,Diet,Position,Species,Family,MaxSizeTL_MB18,Max_Size_MB19,Length_Max_TL_Chagos,MaxSizeTL_OG,MaxSizeTL_Prod,Diet_MB18,Diet_MB19,Diet_Chagos,Diet_OG,Position_MB18,Position_MB19,Position_OG,a_MB18,b_MB18,a_MB19,b_MB19,a_Chagos,b_Chagos,a_Bayes_Fishbase,b_Bayes_Fishbase,a,b,sstmean,Kmax,Kmax_lowqt,Kmax_upqt
50,FisCep,BnthDw,Parupeneus_cyclostomus,Mullidae,NA,50,50,50,50,NA,FisCep,Piscivore,FisCep,NA,BnthDw,BnthDw,NA,NA,0.0125,3.06,0.0052,3.381,0.01072,3.08,0.01072,3.08,28,0.145,0.092,0.229
40,InvMob,BnthDw,Parupeneus_macronemus,Mullidae,40,NA,40,40,40,Mobile invertebrate feeder,NA,Invertivore,InvMob,Benthic Reef dwelling,NA,BnthDw,0.00967,3.12,NA,NA,0.0052,3.381,0.00933,3.14,0.00933,3.14,28,0.215,0.154,0.297
35,InvMob,BnthDw,Parupeneus_trifasciatus,Mullidae,NA,NA,35,35,35,NA,NA,Invertivore,InvMob,NA,NA,BnthDw,NA,NA,NA,NA,0.00323,3.48,0.00794,3.18,0.00794,3.18,28,0.261,0.179,0.363
50,Omnivr,BtPlAs,Platax_orbicularis,Ephippidae,NA,50,60,60,50,NA,Omnivr,Invertivore,InvMob,NA,BtPlAs,BtPlAs,NA,NA,0.0264,3.02,0.0425,2.975,0.02951,2.97,0.02951,2.97,28,0.13,0.084,0.203
80,InvMob,BtPlDw,Plectorhinchus_orientalis,Haemulidae,NA,NA,81,80,81,NA,NA,Invertivore,InvMob,NA,NA,BtPlDw,NA,NA,NA,NA,0.0144,3.03,0.01349,3.01,0.01349,3.01,28,0.126,0.09,0.179
10,Omnivr,BnthDw,Plectroglyphidodon_dickii,Pomacentridae,11,11,11,10,11,Omnivore,Omnivr,Omnivore,Omnivr,Benthic Reef dwelling,BnthDw,BnthDw,0.02344,2.99,0.0222,3.01,0.0612,2.635,0.02239,2.99,0.02239,2.99,28,0.264,0.163,0.429
15,Omnivr,BnthDw,Plectroglyphidodon_johnstonianus,Pomacentridae,NA,NA,14,15,14,NA,NA,Omnivore,Omnivr,NA,NA,BnthDw,NA,NA,NA,NA,0.0612,2.635,0.02291,2.96,0.02291,2.96,28,0.27,0.168,0.418
10,Omnivr,BnthDw,Plectroglyphidodon_lacrymatus,Pomacentridae,NA,10,10,10,10,NA,Omnivr,Herbivore,HerDet,NA,BnthDw,BnthDw,NA,NA,0.0222,3.01,0.0612,2.635,0.02089,2.99,0.02089,2.99,28,0.264,0.163,0.429
80,FisCep,BnthDw,Plectropomus_areolatus,Serranidae,NA,NA,80,80,80,Fish-cephalopod feeder,NA,Piscivore,FisCep,Benthic Reef dwelling,NA,BnthDw,NA,NA,NA,NA,0.0119,3.057,0.01122,3.04,0.01122,3.04,28,0.118,0.086,0.159
120,FisCep,BnthDw,Plectropomus_laevis,Serranidae,NA,NA,125,120,125,Fish-cephalopod feeder,NA,Piscivore,FisCep,Benthic Reef dwelling,NA,BnthDw,NA,NA,NA,NA,0.00591,3.23774,0.00977,3.06,0.00977,3.06,28,0.065,0.046,0.09
50,InvSes,BtPlDw,Pomacanthus_imperator,Pomacanthidae,NA,NA,47,50,47,NA,NA,Invertivore,InvSes,NA,NA,BtPlDw,NA,NA,NA,NA,0.02758,3,0.03467,2.92,0.03467,2.92,28,0.142,0.092,0.206
10,Omnivr,BnthDw,Pomacentrus_caeruleus,Pomacentridae,NA,NA,10,10,10,NA,NA,Omnivore,Omnivr,NA,NA,BnthDw,NA,NA,NA,NA,0.3651,2.775,0.01514,2.95,0.01514,2.95,28,0.264,0.163,0.429
10,HerDet,BnthDw,Pomacentrus_indicus,Pomacentridae,NA,NA,11,10,11,NA,NA,Herbivore,HerDet,NA,NA,BnthDw,NA,NA,NA,NA,0.3651,2.775,0.02291,2.99,0.02291,2.99,28,0.402,0.23,0.679
10,HerDet,BnthDw,Pomacentrus_taeniometopon,Pomacentridae,NA,NA,12,15,12,NA,NA,Herbivore,HerDet,NA,NA,BnthDw,NA,NA,NA,NA,0.028,3.024,0.02291,2.99,0.02291,2.99,28,0.402,0.23,0.679
10,HerDet,BnthDw,Pomacentrus_wardi,Pomacentridae,9.9,9.9,10,10,10,Herbivore-detritivore,HerDet,Herbivore,HerDet,Benthic Reef dwelling,BnthDw,BnthDw,0.02344,2.99,0.023,2.99,0.028,3.024,NA,NA,0.02344,2.99,28,0.402,0.23,0.679
10,InvMob,BnthDw,Pseudocheilinus_hexataenia,Labridae,NA,10,10,10,10,NA,InvMob,Invertivore,InvMob,NA,BnthDw,BnthDw,NA,NA,0.0118,3.05,0.0167,3,0.0138,2.96,0.0138,2.96,28,0.353,0.21,0.602
30,InvSes,BtPlDw,Pygoplites_diacanthus,Pomacanthidae,NA,30.9,31,30,31,NA,InvSes,Invertivore,InvSes,NA,BtPlDw,BtPlDw,NA,NA,0.0247,3.01,0.02762,3,0.01995,2.9,0.01995,2.9,28,0.33,0.212,0.5
50,InvMob,BtPlDw,Sargocentron_spiniferum,Holocentridae,NA,53.8,54,50,54,NA,InvMob,Invertivore,InvMob,NA,BtPlDw,BtPlDw,NA,NA,0.0168,3.07,0.0236,2.981,0.01698,3,0.01698,3,28,0.114,0.08,0.159
50,HerDet,BtPlDw,Scarus_caudofasciatus,Scaridae,NA,NA,50,50,50,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01445,3.04,0.01445,3.04,28,0.126,0.092,0.178
60,HerDet,BtPlDw,Scarus_falcipinnis,Scaridae,NA,NA,60,60,60,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0279,3.06,0.01445,3.04,0.01445,3.04,28,0.122,0.089,0.17
50,HerDet,BtPlDw,Scarus_frenatus,Scaridae,NA,NA,47,50,47,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0279,3.06,0.02138,3.09,0.02138,3.09,28,0.126,0.092,0.178
80,HerDet,BtPlDw,Scarus_ghobban,Scaridae,NA,NA,75,100,75,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.0169,3.049,0.01445,3.04,0.01445,3.04,28,0.096,0.063,0.147
50,HerDet,BtPlDw,Scarus_globiceps,Scaridae,NA,NA,45,50,45,NA,HerDet,Herbivore,HerDet,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01047,3.09,0.01047,3.09,28,0.126,0.092,0.178
40,HerDet,BtPlDw,Scarus_niger,Scaridae,NA,NA,40,40,40,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.0142,3.14,0.01549,3.11,0.01549,3.11,28,0.154,0.109,0.225
70,HerDet,BtPlDw,Scarus_prasiognathos,Scaridae,NA,NA,70,70,70,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01122,3.08,0.01122,3.08,28,0.112,0.081,0.157
35,HerDet,BtPlDw,Scarus_psittacus,Scaridae,NA,NA,34,35,35,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01585,3.05,0.01585,3.05,28,0.182,0.127,0.272
70,HerDet,BtPlDw,Scarus_rubroviolaceus,Scaridae,NA,NA,70,70,70,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.0273,2.93,0.01318,3.09,0.01318,3.09,28,0.112,0.081,0.157
35,HerDet,BtPlDw,Scarus_scaber,Scaridae,NA,NA,37,35,37,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.0138,3.01,0.0138,3.01,28,0.182,0.127,0.272
35,HerDet,BtPlDw,Scarus_tricolor,Scaridae,NA,NA,37,35,37,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01778,3.08,0.01778,3.08,28,0.182,0.127,0.272
40,HerDet,BtPlDw,Siganus_argenteus,Siganidae,40,40,40,40,40,Herbivore-macroalgae feeder,HerDet,Herbivore,HerMac,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.01413,3,0.0144,3.08,0.0131,3.088,0.01479,2.99,0.01479,2.99,28,0.154,0.109,0.225
15,HerDet,BnthDw,Stegastes_fasciolatus,Pomacentridae,NA,15,17,20,16,NA,HerDet,Herbivore,HerDet,NA,BnthDw,BnthDw,NA,NA,0.0251,3.04,0.1681,2.367,NA,NA,0.0251,3.04,28,0.243,0.165,0.364
15,HerDet,BnthDw,Stegastes_gascoynei,Pomacentridae,NA,NA,15,15,15,NA,NA,Herbivore,HerDet,NA,NA,BnthDw,NA,NA,NA,NA,0.0395,2.989,0.0195,2.99,0.0195,2.99,28,0.243,0.165,0.364
10,HerDet,BnthDw,Stegastes_lividus,Pomacentridae,NA,NA,11,10,11,NA,NA,Herbivore,HerDet,NA,NA,BnthDw,NA,NA,NA,NA,0.0652,2.741,NA,NA,0.0195,2.99,28,0.402,0.23,0.679
15,Omnivr,BnthDw,Stegastes_nigricans,Pomacentridae,14,14,14,15,14,Herbivore-detritivore,Omnivr,Herbivore,HerDet,Benthic Reef dwelling,BnthDw,BnthDw,0.02512,3.02,0.0251,3.04,0.1681,2.367,0.02455,3.02,0.02455,3.02,28,0.27,0.168,0.418
15,InvMob,BnthDw,Stethojulis_albovittata,Labridae,14,NA,14,15,14,Mobile invertebrate feeder,NA,Invertivore,InvMob,Benthic Reef dwelling,NA,BnthDw,0.01,3.06,NA,NA,0.0128,3.077,0.01072,3.05,0.01072,3.05,28,0.258,0.172,0.391
15,InvMob,BnthDw,Stethojulis_strigiventer,Labridae,NA,15,15,15,15,NA,InvMob,Invertivore,InvMob,NA,BnthDw,BnthDw,NA,NA,0.0129,3.05,0.019083913,2.876257644,0.00891,2.98,0.00891,2.98,28,0.258,0.172,0.391
30,InvMob,BtPlDw,Sufflamen_chrysopterus,Balistidae,NA,NA,30,30,30,NA,NA,Invertivore,InvMob,NA,NA,BnthDw,NA,NA,NA,NA,0.031,2.95,0.01995,2.95,0.01995,2.95,28,0.288,0.195,0.413
20,Plktiv,BtPlDw,Thalassoma_amblycephalum,Labridae,NA,20.3,20,20,20,NA,Plktiv,Planktivore,Plktiv,NA,BtPlDw,BtPlDw,NA,NA,0.0128,3.06,0.0238,2.749,0.00977,3.01,0.00977,3.01,28,0.362,0.236,0.563
20,InvMob,BnthDw,Thalassoma_hardwicke,Labridae,20,20,20,20,20,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,Benthic Reef dwelling,BnthDw,BnthDw,0.00977,3.05,0.0128,3.06,0.0139,3.048,0.01023,3.04,0.01023,3.04,28,0.293,0.182,0.461
25,InvMob,BnthDw,Thalassoma_hebraicum,Labridae,NA,NA,23,25,23,NA,NA,Invertivore,InvMob,NA,NA,BnthDw,NA,NA,NA,NA,0.0238,2.749,0.01288,3.05,0.01288,3.05,28,0.288,0.18,0.442
50,InvMob,BnthDw,Thalassoma_purpureum,Labridae,NA,NA,46,50,46,NA,NA,Invertivore,InvMob,NA,NA,BnthDw,NA,NA,NA,NA,0.0123,3.077,0.01318,3.05,0.01318,3.05,28,0.122,0.081,0.177
15,InvMob,BnthDw,Thalassoma_quinquevittatum,Labridae,NA,NA,17,20,17,NA,NA,Invertivore,InvMob,NA,NA,BnthDw,NA,NA,NA,NA,0.01386619,3,0.01,3.02,0.01,3.02,28,0.258,0.172,0.391
80,FisCep,BnthDw,Variola_louti,Serranidae,NA,NA,83,80,83,Fish-cephalopod feeder,NA,Piscivore,FisCep,Benthic Reef dwelling,NA,BnthDw,NA,NA,NA,NA,0.012,3.081,0.01096,3.03,0.01096,3.03,28,0.118,0.086,0.159
25,InvSes,BnthDw,Zanclus_cornutus,Zanclidae,NA,23,23,25,23,NA,InvSes,Invertivore,InvSes,NA,BnthDw,BtPlDw,NA,NA,0.021,3.11,0.0147,3.36991,0.01698,3.06,0.01698,3.06,28,0.285,0.167,0.463
40,HerDet,BtPlDw,Zebrasoma_desjardinii,Acanthuridae,NA,NA,40,40,40,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0304,2.957,0.02042,2.96,0.02042,2.96,28,0.154,0.109,0.225
25,HerDet,BtPlDw,Zebrasoma_scopas,Acanthuridae,23.3,25,48,25,25,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.02399,2.99,0.0275,3.03,0.0304,2.957,0.02138,2.98,0.02138,2.98,28,0.266,0.184,0.376
