"country","zone_id","gears_category","times_category","fishing_intensity","size","age","site"
"Mauritius","Balaclava Marine Park no take","All gears prohibited","Closed year-round","Medium",485,"22","Balaclava slope"
"Mauritius","Balaclava Marine Park partial","Moderate","None","Medium",485,"22","NA"
"Mauritius","Blue Bay MPA","Moderate","None","Low",353,"24","CoastGuard/BlueBay"
"Mauritius","Blue Bay MPA","Moderate","None","Low",353,"24","Ile Coco/BlueBay"
"Mauritius","Blue Bay MPA no take","All gears prohibited","Closed year-round","Low",353,"24","NA"
"Mauritius","South East MPA no take","All gears prohibited","Closed year-round","Low",4300,"10","NA"
"Mauritius","Vieux Grand Port potential OECM","Limited","None","Medium",1828,"21","NA"
"Mauritius","Black River partial","Limited","None","Medium",797,"21","NA"
"Mauritius","Port Louis FR","Moderate","None","NA",331,"21","NA"
"Mauritius","Poste Lafayette FR","Limited","None","Medium",280,"21","NA"
"Mauritius","Poudre D'Or FR","Limited","None","Medium",2542,"21","NA"
"Mauritius","Trou D'eau Douce potential OECM","Limited","None","NA",574,"21","NA"
"Mauritius","Roches Noires no take","All gears prohibited","Closed year-round","Medium",16,"10","NA"
"Fiji","Kubulau LMMA","Limited","Limited","Moderate - most people in the district respect the rules but there could be occasional infringements from outsiders",8929.5,"NA","KB09"
"Fiji","Kubulau LMMA","Limited","Limited","Moderate - most people in the district respect the rules but there could be occasional infringements from outsiders",8929.5,"NA","KB17"
"Fiji","Kubulau LMMA","Limited","Limited","Moderate - most people in the district respect the rules but there could be occasional infringements from outsiders",8929.5,"NA","KR7"
"Mauritius","Le Morne potential OECM","None","None","NA",1956,"18","NA"
"Madagascar","Lmma Vatomanitra","Moderate","Limited","Medium",332.1,"12","Ranto_01"
"Madagascar","Maintimbato No-Take","All gears prohibited","Closed year-round","None",63.1,"12","Maintim_27"
"Madagascar","Maintimbato Restricted","Moderate","Limited","Medium",244.7,"12","Maintim_28"
"Madagascar","Malotrandro No-Take","All gears prohibited","Closed year-round","None",43,"7","Malo_03"
"Madagascar","Malotrandro Restricted","Moderate","Limited","Medium",260.5,"7","Malo_02"
"Madagascar","Mandrisy No-Take","All gears prohibited","Closed year-round","low",47.6,"8","Mand_10"
"Fiji","Levuka qoliqoli","Limited","Limited","medium - they do sell fish but not highly commercial",10357.3,"NA","NAOBF3"
"Fiji","Levuka qoliqoli","Limited","Limited","medium - they do sell fish but not highly commercial",10357.3,"NA","NAOBF4"
"Fiji","Nakorotobu other small tabus","Limited","Moderate","High intensity",20.7,"6", 
"Fiji","Bua tabu","All gears prohibited","Closed year-round","None",467.9,"6","BUA07A"
"Fiji","Bua tabu","All gears prohibited","Closed year-round","None",467.9,"6","BUA08A"
"Fiji","Bua tabu","All gears prohibited","Closed year-round","None",467.9,"6","BUA20A"
"Madagascar","Mandrisy Restricted","Moderate","Limited","low",333.1,"8","Mand_11"
"Madagascar","Northeast control 1","Limited","Limited","low",0,"NA","Marofot_01"
"Madagascar","Northeast control 1","Limited","Limited","low",0,"NA","Marofot_02"
"Madagascar","Southwest control","Limited","Limited","high",0,"NA","Antsa_09"
"Madagascar","Soariake No Take","All gears prohibited","Closed year-round","none",35,"8","Sal_N2_02"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Andravona_08"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Andravona_12"
