,country,site,longitude,latitude,score,scorecn,scorecy,scorepfc,scoreth,scoretr,reefpct,grav_NC,sediment,nutrient,pop_count,num_ports,reef_value
74,Fiji,BuC3,178.745,-17.642,-0.00175,-0.28398,-0.17612,0.19057,-0.04054,0.15463,0.0116,4.338601233,35.60044861,0.007823652,1853.30547,0,9
75,Fiji,BuC4,178.745,-17.652,-0.0069,-0.28398,-0.18636,0.18835,-0.08303,0.07859,0.0436,5.649633197,49.60815048,0.009785388,2230.739536,0,26
76,Fiji,BuC5,178.758,-17.63,0.0433,0.97149,-0.17612,0.19118,-0.04171,0.19827,0.0212,1.964415766,0,0,6225.16342,0,29
77,Fiji,BuC6,178.693,-17.675,-0.00915,-0.28398,-0.18636,0.18774,-0.08899,-0.03309,0.0172,10.1535307,57.94691849,0.018377434,341.5978127,0,3
78,Fiji,BuE1,178.74001,-17.736001,-0.01234,-0.28398,-0.1866,0.18612,-0.12619,-0.03552,0.1316,6.960665162,47.75,0.013228872,2101.040375,0,65
79,Fiji,BuE2,178.74,-17.699,-0.0069,-0.28398,-0.18636,0.18835,-0.08303,0.07859,0.0436,5.649633197,49.60815048,0.009785388,2230.739536,0,26
80,Fiji,BuE4,178.724,-17.759,-0.01605,-0.06734,-0.1866,0.1839,-0.2463,-0.13079,0.0712,9.87608905,24.69436455,0.017200448,1287.570998,0,364
81,Fiji,BuE5,178.712,-17.714,-0.01234,-0.28398,-0.1866,0.18612,-0.12619,-0.03552,0.1316,6.960665162,47.75,0.013228872,2101.040375,0,65
82,Fiji,BuE6,178.715,-17.706,-0.01234,-0.28398,-0.1866,0.18612,-0.12619,-0.03552,0.1316,6.960665162,47.75,0.013228872,2101.040375,0,65
83,Fiji,DamC1,178.5269,-16.83556,-0.01213,1.03578,-0.11969,0.21107,-0.6708,-0.47498,0.1108,0.660988069,66.36682129,0.026527233,452.0073452,0,0
84,Fiji,DamC3,178.552961,-16.839076,-0.02271,1.03578,-0.11513,0.21161,-0.77902,-0.60663,0.1732,0.640395767,75.65332031,0.025900651,1147.86524,0,0
85,Fiji,DamC4,178.559994,-16.850734,0.00808,1.0294,-0.12654,0.21034,-0.43663,-0.36075,0.182,0.711133879,84.55718994,0.024021123,716.188055,0,0
86,Fiji,DamC8,178.537336,-16.845049,-0.01213,1.03578,-0.11969,0.21107,-0.6708,-0.47498,0.1108,0.660988069,66.36682129,0.026527233,452.0073452,0,0
87,Fiji,DamE1,178.60001,-16.91083,0.01019,0.51659,-0.13233,0.20961,-0.22323,-0.15008,0.2416,0.754095734,87.13223267,0.019778075,796.6107597,0,0
88,Fiji,DamE6,178.6192,-16.91833,0.01019,0.51659,-0.13233,0.20961,-0.22323,-0.15008,0.2416,0.754095734,87.13223267,0.019778075,796.6107597,0,0
89,Fiji,DawaC1,178.559,-17.627,0.00014,-0.28398,-0.17824,0.18875,-0.00182,0.08738,0.0892,7.618269876,107.170311,0.03669798,2343.838362,0,58
90,Fiji,DawaC2,178.558,-17.605,0.00014,-0.28398,-0.17824,0.18875,-0.00182,0.08738,0.0892,7.618269876,107.170311,0.03669798,2343.838362,0,58
91,Fiji,DawaC3,178.582,-17.632,0.00014,-0.28398,-0.17824,0.18875,-0.00182,0.08738,0.0892,7.618269876,107.170311,0.03669798,2343.838362,0,58
92,Fiji,DawaC4,178.553,-17.579,0.05245,0.9512,-0.17022,0.19099,0.07728,0.20039,0.002,6.911843386,61.04627991,0.036364555,107.502856,0,3
93,Fiji,DawaC5,178.601,-17.702,-0.02439,-0.28398,-0.18666,0.18489,-0.23307,-0.25021,0.0296,14.24403477,59.13419724,0.030128205,2028.753078,0,0
94,Fiji,DawaC6,178.61905,-17.6759,-0.01135,-0.28398,-0.18636,0.18712,-0.1063,-0.08236,0.038,13.11289809,76.64398956,0.026300272,1679.761471,0,22
95,Fiji,DawaE1,178.48918,-17.57421,0.05575,0.9512,-0.17834,0.18981,0.11968,0.2166,0.0608,4.682673071,130.749588,0.076399207,1126.915009,0,14
96,Fiji,DawaE2,178.474,-17.565,0.05575,0.9512,-0.17834,0.18981,0.11968,0.2166,0.0608,4.682673071,130.749588,0.076399207,1126.915009,0,14
97,Fiji,DawaE3,178.463,-17.555,0.05575,0.9512,-0.17834,0.18981,0.11968,0.2166,0.0608,4.682673071,130.749588,0.076399207,1126.915009,0,14
98,Fiji,DawaE4,178.482,-17.556,0.05575,0.9512,-0.17834,0.18981,0.11968,0.2166,0.0608,4.682673071,130.749588,0.076399207,1126.915009,0,14
99,Fiji,DawaE5,178.5,-17.542,0.05966,0.9512,-0.17414,0.19205,0.1527,0.27516,0.012,4.388255729,89.58515167,0.094181083,308.1179504,0,1
100,Fiji,DawaE6,178.508,-17.546,0.06039,0.9512,-0.16801,0.19263,0.15707,0.28281,0.0476,4.799879018,46.88749695,0.051783785,141.4782104,0,7
101,Fiji,WaiE2,178.66299,-17.812001,-0.02671,-0.06734,-0.1866,0.18104,-0.33447,-0.34509,0.0376,19.12013398,42.76614761,0.040883727,272.2357912,0,0
102,Fiji,WaiE3,178.689001,-17.782001,-0.0213,-0.06734,-0.1866,0.18328,-0.28107,-0.28622,0.0152,15.03996066,35.76194382,0.029313719,493.8386068,0,36
103,Fiji,WaiE4,178.6909,-17.78621,-0.0213,-0.06734,-0.1866,0.18328,-0.28107,-0.28622,0.0152,15.03996066,35.76194382,0.029313719,493.8386068,0,36
104,Fiji,WaiE5,178.645001,-17.780001,-0.02636,-0.06734,-0.18671,0.18266,-0.32616,-0.37441,0.1084,19.25876545,57.51651001,0.041431785,2881.61235,0,0
105,Fiji,WaiE6,178.64542,-17.78236,-0.02636,-0.06734,-0.18671,0.18266,-0.32616,-0.37441,0.1084,19.25876545,57.51651001,0.041431785,2881.61235,0,0
106,Fiji,BUA07A,178.557182,-16.83297,-0.02271,1.03578,-0.11513,0.21161,-0.77902,-0.60663,0.1732,0.640395767,75.65332031,0.025900651,1147.86524,0,0
107,Fiji,BUA08A,178.543537,-16.8494,-0.01213,1.03578,-0.11969,0.21107,-0.6708,-0.47498,0.1108,0.660988069,66.36682129,0.026527233,452.0073452,0,0
108,Fiji,BUA20A,178.555602,-16.856581,0.00808,1.0294,-0.12654,0.21034,-0.43663,-0.36075,0.182,0.711133879,84.55718994,0.024021123,716.188055,0,0
109,Fiji,BUA24A,178.523042,-16.838822,-0.01213,1.03578,-0.11969,0.21107,-0.6708,-0.47498,0.1108,0.660988069,66.36682129,0.026527233,452.0073452,0,0
110,Fiji,BUA25,178.539783,-16.84262,-0.01213,1.03578,-0.11969,0.21107,-0.6708,-0.47498,0.1108,0.660988069,66.36682129,0.026527233,452.0073452,0,0
111,Fiji,KB09,178.99922,-16.96729,0.05583,1.02762,-0.11002,0.21222,0.06133,0.07751,0.3116,0.588856422,33.57932281,0.000319137,61.77122545,0,130
112,Fiji,KB17,179.00135,-16.95352,0.04501,1.02762,-0.09502,0.21278,-0.06706,0.01334,0.0232,0.571445636,27.31597137,0.000163911,61.77122545,0,5
113,Fiji,KR7,178.97691,-16.9439,0.05334,1.02762,-0.10068,0.21347,0.04006,-0.00024,0.1676,0.535520787,63.44083405,0.000197266,463.2942128,0,237
114,Fiji,MAP01,179.028741,-16.937449,0.04327,1.02762,-0.08454,0.21402,-0.07807,-0.07319,0.1172,0.520432785,52.76745224,0.000214022,476.5807195,0,249
115,Fiji,NP1,179.01736,-16.94588,0.04327,1.02762,-0.08454,0.21402,-0.07807,-0.07319,0.1172,0.520432785,52.76745224,0.000214022,476.5807195,0,249
116,Fiji,NTRFN1,178.382,-17.509,0.04993,0.80458,-0.18706,0.19094,0.12642,0.15402,0.0804,3.219294656,125.2545395,0.143841907,1747.174606,0,15
117,Fiji,NTRFN7,178.398,-17.516,0.04993,0.80458,-0.18706,0.19094,0.12642,0.15402,0.0804,3.219294656,125.2545395,0.143841907,1747.174606,0,15
118,Fiji,NTRFT4,178.38,-17.495,0.05247,0.80458,-0.18711,0.1927,0.1433,0.2213,0.0268,3.463064925,113.5936661,0.177611947,1059.909099,0,14
119,Fiji,NTRFT5,178.381,-17.499,0.05247,0.80458,-0.18711,0.1927,0.1433,0.2213,0.0268,3.463064925,113.5936661,0.177611947,1059.909099,0,14
120,Fiji,NTRFT7,178.378,-17.496,0.05247,0.80458,-0.18711,0.1927,0.1433,0.2213,0.0268,3.463064925,113.5936661,0.177611947,1059.909099,0,14
121,Fiji,NTRFT8,178.376,-17.501,0.04993,0.80458,-0.18706,0.19094,0.12642,0.15402,0.0804,3.219294656,125.2545395,0.143841907,1747.174606,0,15
122,Fiji,BU01N,178.77,-17.752,0.02242,0.8736,-0.1866,0.18452,-0.21207,0.02244,0.4928,7.115872907,25.39134979,0.009424566,2298.174758,0,479
123,Fiji,BU02,178.76,-17.746,0.02242,0.8736,-0.1866,0.18452,-0.21207,0.02244,0.4928,7.115872907,25.39134979,0.009424566,2298.174758,0,479
124,Fiji,BU08,178.751,-17.725,-0.01234,-0.28398,-0.1866,0.18612,-0.12619,-0.03552,0.1316,6.960665162,47.75,0.013228872,2101.040375,0,65
125,Fiji,BU09,178.778,-17.751,0.02242,0.8736,-0.1866,0.18452,-0.21207,0.02244,0.4928,7.115872907,25.39134979,0.009424566,2298.174758,0,479
126,Fiji,NAO1,178.827,-17.746,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
127,Fiji,NAO2N,178.829,-17.722,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
128,Fiji,NAO3,178.812,-17.74,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
129,Fiji,NAO6,178.838,-17.74,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
130,Fiji,NAO7,178.841,-17.734,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
131,Fiji,NAOBF2,178.83,-17.631,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
132,Fiji,NAOBF3,178.825,-17.598,0.0501,1.09896,-0.166,0.19401,-0.02351,0.21342,0.0624,3.105389604,8.259588242,0.00234981,33.94339943,0,17
133,Fiji,NAOBF4,178.819,-17.595,0.0501,1.09896,-0.166,0.19401,-0.02351,0.21342,0.0624,3.105389604,8.259588242,0.00234981,33.94339943,0,17
134,Fiji,NAOBT1,178.831,-17.622,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
135,Fiji,NAOBT2,178.829,-17.618,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
136,Fiji,NAOBT3,178.83,-17.614,0.04275,0.97149,-0.17612,0.19179,-0.05256,0.21696,0.0952,2.971754499,28.70783234,0.00413318,5936.682596,2,185
137,Indonesia,Batu Putih,110.49186,-5.80503,0.06599,-1.09328,0.76178,0.16184,0.68813,0.57604,0.108,9.049146202,18.71908188,0,39129.72902,0,5588
138,Indonesia,Bengkoang,110.41747,-5.74239,0.04971,-1.09328,0.76178,0.16175,0.51252,0.4431,0.0524,7.96898271,1.336745262,0,3646.598389,0,94
139,Indonesia,Burung,110.34657,-5.89102,0.09535,-0.29869,0.76178,0.15273,0.70422,0.62019,0.0116,9.717731258,1.38630116,0,807.6643829,0,27
