,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
bare_sub[5],-0.021,0.169,-0.36,0.291,0.003,0.003,2959.0,2358.0,1.0,bare_sub[5],omnivore
turf[0],0.006,0.173,-0.336,0.333,0.004,0.003,2050.0,2233.0,1.0,turf[0],herbivore-detritivore
turf[1],0.055,0.185,-0.31,0.419,0.003,0.003,3103.0,2421.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.151,0.16,-0.157,0.461,0.004,0.003,1804.0,1931.0,1.0,turf[2],invertivore-mobile
turf[3],0.007,0.155,-0.292,0.307,0.003,0.002,2309.0,2490.0,1.0,turf[3],piscivore
turf[4],-0.012,0.165,-0.304,0.344,0.004,0.003,2053.0,2043.0,1.0,turf[4],planktivore
turf[5],-0.074,0.184,-0.434,0.278,0.003,0.003,3080.0,2416.0,1.0,turf[5],omnivore
rubble[0],-0.097,0.175,-0.431,0.252,0.004,0.003,2319.0,1785.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.013,0.195,-0.402,0.365,0.004,0.003,2741.0,2431.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],0.126,0.173,-0.236,0.441,0.004,0.003,1858.0,1977.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.163,0.173,-0.506,0.172,0.003,0.002,2501.0,1950.0,1.0,rubble[3],piscivore
rubble[4],0.385,0.168,0.053,0.721,0.004,0.003,1888.0,2096.0,1.0,rubble[4],planktivore
rubble[5],-0.07,0.182,-0.407,0.293,0.003,0.003,2859.0,1899.0,1.0,rubble[5],omnivore
population[0],0.326,0.18,-0.024,0.671,0.003,0.002,3348.0,2272.0,1.0,population[0],herbivore-detritivore
population[1],-0.021,0.192,-0.389,0.348,0.003,0.004,4587.0,2176.0,1.0,population[1],herbivore-macroalgae
population[2],0.187,0.17,-0.145,0.523,0.004,0.003,2335.0,2344.0,1.0,population[2],invertivore-mobile
population[3],-0.001,0.187,-0.349,0.378,0.004,0.003,2675.0,2260.0,1.0,population[3],piscivore
population[4],-0.244,0.196,-0.628,0.13,0.004,0.003,2290.0,2399.0,1.0,population[4],planktivore
population[5],0.195,0.191,-0.166,0.591,0.003,0.003,3350.0,2244.0,1.0,population[5],omnivore
gravity[0],-0.088,0.163,-0.429,0.21,0.003,0.003,2708.0,2499.0,1.0,gravity[0],herbivore-detritivore
gravity[1],-0.004,0.178,-0.329,0.377,0.003,0.004,3252.0,2109.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],-0.009,0.151,-0.309,0.286,0.003,0.002,2371.0,2075.0,1.0,gravity[2],invertivore-mobile
gravity[3],-0.222,0.164,-0.553,0.092,0.003,0.002,2689.0,2215.0,1.0,gravity[3],piscivore
gravity[4],-0.166,0.183,-0.522,0.191,0.004,0.003,2615.0,2404.0,1.0,gravity[4],planktivore
gravity[5],-0.273,0.191,-0.633,0.102,0.004,0.003,2931.0,2281.0,1.0,gravity[5],omnivore
sediment[0],0.125,0.193,-0.26,0.498,0.004,0.003,2583.0,2483.0,1.0,sediment[0],herbivore-detritivore
sediment[1],0.041,0.2,-0.375,0.406,0.004,0.003,3186.0,2357.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.162,0.172,-0.166,0.508,0.004,0.003,2153.0,2225.0,1.0,sediment[2],invertivore-mobile
sediment[3],-0.134,0.166,-0.44,0.213,0.004,0.003,2191.0,2143.0,1.0,sediment[3],piscivore
sediment[4],0.102,0.177,-0.243,0.451,0.004,0.003,2348.0,2319.0,1.0,sediment[4],planktivore
sediment[5],-0.032,0.184,-0.387,0.32,0.004,0.003,2759.0,2267.0,1.0,sediment[5],omnivore
nut_load[0],0.099,0.175,-0.25,0.43,0.004,0.003,2118.0,1545.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],-0.097,0.177,-0.45,0.242,0.003,0.003,3596.0,1987.0,1.0,nut_load[1],herbivore-macroalgae
nut_load[2],-0.069,0.151,-0.357,0.22,0.003,0.002,2432.0,2267.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],0.005,0.167,-0.32,0.321,0.003,0.003,2634.0,1968.0,1.0,nut_load[3],piscivore
nut_load[4],0.306,0.177,-0.026,0.659,0.004,0.003,2459.0,2113.0,1.0,nut_load[4],planktivore
nut_load[5],0.034,0.19,-0.308,0.428,0.003,0.003,3096.0,2443.0,1.0,nut_load[5],omnivore
depth[0],0.086,0.159,-0.205,0.415,0.004,0.002,2030.0,2218.0,1.0,depth[0],herbivore-detritivore
depth[1],0.128,0.182,-0.218,0.499,0.003,0.003,3333.0,1941.0,1.0,depth[1],herbivore-macroalgae
depth[2],0.033,0.178,-0.294,0.399,0.004,0.003,1641.0,2176.0,1.0,depth[2],invertivore-mobile
depth[3],0.258,0.163,-0.087,0.555,0.004,0.003,2133.0,2206.0,1.0,depth[3],piscivore
depth[4],0.417,0.157,0.098,0.712,0.004,0.003,1934.0,2371.0,1.0,depth[4],planktivore
depth[5],0.196,0.174,-0.146,0.528,0.003,0.003,2601.0,2239.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.144,0.515,-1.111,0.905,0.018,0.012,857.0,1378.0,1.0,barrier,herbivore-detritivore
"reeftype_x[0,1]",0.125,0.526,-0.951,1.091,0.017,0.012,903.0,1423.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",0.125,0.526,-0.878,1.148,0.017,0.012,979.0,1698.0,1.0,barrier,invertivore-mobile
"reeftype_x[0,3]",-0.041,0.519,-1.048,0.941,0.016,0.011,1020.0,1709.0,1.0,barrier,piscivore
"reeftype_x[0,4]",-0.314,0.522,-1.263,0.764,0.017,0.012,939.0,1634.0,1.0,barrier,planktivore
"reeftype_x[0,5]",0.146,0.535,-0.95,1.132,0.018,0.013,913.0,1441.0,1.0,barrier,omnivore
"reeftype_x[1,0]",0.396,0.504,-0.587,1.386,0.017,0.012,835.0,1254.0,1.0,fringing,herbivore-detritivore
"reeftype_x[1,1]",0.314,0.51,-0.698,1.309,0.017,0.012,864.0,1523.0,1.0,fringing,herbivore-macroalgae
"reeftype_x[1,2]",0.637,0.517,-0.353,1.659,0.016,0.012,988.0,1646.0,1.0,fringing,invertivore-mobile
"reeftype_x[1,3]",0.3,0.513,-0.678,1.3,0.016,0.012,986.0,1714.0,1.0,fringing,piscivore
